type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2024-11-19 12:28:24,53.97501156,-7.35559767,3.79,92.697,57.000,0.000,,18,39,20241119-122824,GPS Logger: 20241119-122824 - Home
T,2024-11-19 12:28:25,53.97501409,-7.35559877,3.79,92.560,57.000,0.000,,19,39,,
T,2024-11-19 12:28:26,53.97500852,-7.35559469,3.79,92.211,57.000,0.570,115,23,39,,
T,2024-11-19 12:28:27,53.97500081,-7.35558930,3.79,91.969,57.000,0.690,109,23,39,,
T,2024-11-19 12:28:28,53.97498425,-7.35559817,3.79,88.782,57.000,0.760,112,23,39,,
T,2024-11-19 12:28:29,53.97496987,-7.35562393,3.79,84.267,57.000,0.970,99,23,39,,
T,2024-11-19 12:28:30,53.97496548,-7.35560952,3.79,82.805,57.000,1.220,101,23,39,,
T,2024-11-19 12:28:31,53.97496546,-7.35558793,3.79,83.737,57.000,1.200,104,24,39,,
T,2024-11-19 12:28:32,53.97496449,-7.35557208,3.79,83.489,57.000,1.100,106,24,39,,
T,2024-11-19 12:28:33,53.97496472,-7.35555634,3.79,82.674,57.000,1.210,87,24,39,,
T,2024-11-19 12:28:34,53.97496683,-7.35554279,3.79,81.669,57.000,1.260,69,24,39,,
T,2024-11-19 12:28:35,53.97496881,-7.35552647,3.79,81.647,57.000,1.400,82,24,39,,
T,2024-11-19 12:28:36,53.97496904,-7.35550906,3.79,81.411,57.000,1.240,75,24,39,,
T,2024-11-19 12:28:37,53.97496826,-7.35549417,3.79,80.862,57.000,1.120,79,25,39,,
T,2024-11-19 12:28:38,53.97496712,-7.35548263,3.79,81.127,57.000,0.950,84,25,39,,
T,2024-11-19 12:28:39,53.97496579,-7.35547574,3.79,80.492,57.000,0.490,87,25,39,,
T,2024-11-19 12:28:40,53.97496317,-7.35546304,3.79,80.511,57.000,1.110,87,25,39,,
T,2024-11-19 12:28:41,53.97496122,-7.35545298,3.79,80.101,57.000,0.900,87,25,39,,
T,2024-11-19 12:28:42,53.97496118,-7.35544168,3.79,79.874,57.000,0.980,87,25,39,,
T,2024-11-19 12:28:43,53.97496223,-7.35542857,3.79,80.244,57.000,0.920,87,25,39,,
T,2024-11-19 12:28:44,53.97496550,-7.35541426,3.79,80.074,57.000,1.010,87,25,39,,
T,2024-11-19 12:28:45,53.97496410,-7.35539774,3.79,79.736,57.000,1.110,101,25,39,,
T,2024-11-19 12:28:46,53.97496095,-7.35538219,3.79,79.412,56.999,1.010,99,24,39,,
T,2024-11-19 12:28:47,53.97496231,-7.35536603,3.79,79.666,56.999,1.130,80,24,39,,
T,2024-11-19 12:28:48,53.97496278,-7.35534571,3.79,79.629,56.999,1.360,88,23,39,,
T,2024-11-19 12:28:49,53.97496084,-7.35532323,3.79,78.916,56.999,1.300,98,23,39,,
T,2024-11-19 12:28:50,53.97494365,-7.35524657,4.39,80.080,56.999,1.500,118,23,39,,
T,2024-11-19 12:28:51,53.97493737,-7.35522311,4.33,79.523,56.999,1.170,115,23,39,,
T,2024-11-19 12:28:52,53.97493896,-7.35523078,3.79,79.600,56.999,0.000,,23,39,,
T,2024-11-19 12:28:53,53.97493755,-7.35522929,3.79,79.319,56.999,0.000,,19,39,,
T,2024-11-19 12:28:54,53.97493956,-7.35523173,3.85,79.510,56.999,0.000,,22,39,,
T,2024-11-19 12:28:55,53.97494059,-7.35523257,3.89,79.252,56.999,0.000,,24,39,,
T,2024-11-19 12:28:56,53.97493815,-7.35522425,3.94,78.815,56.999,0.000,,25,39,,
T,2024-11-19 12:28:57,53.97493819,-7.35522128,3.95,78.296,56.999,0.000,,25,39,,
T,2024-11-19 12:28:58,53.97494015,-7.35521895,3.98,78.394,56.999,0.000,,25,39,,
T,2024-11-19 12:28:59,53.97493938,-7.35520922,4.01,78.306,56.999,0.000,,23,39,,
T,2024-11-19 12:29:00,53.97493925,-7.35520243,3.90,78.010,56.999,0.000,,23,39,,
T,2024-11-19 12:29:01,53.97493632,-7.35519110,3.79,78.019,56.999,0.000,,24,39,,
T,2024-11-19 12:29:02,53.97493334,-7.35518241,3.79,78.075,56.999,0.000,,24,39,,
T,2024-11-19 12:29:03,53.97493052,-7.35517534,3.79,78.028,56.999,0.000,,24,39,,
T,2024-11-19 12:29:04,53.97492708,-7.35516979,3.79,78.225,56.999,0.000,,24,39,,
T,2024-11-19 12:29:05,53.97492396,-7.35516581,3.79,78.335,56.999,0.000,,25,39,,
T,2024-11-19 12:29:06,53.97492083,-7.35516049,3.95,78.518,56.999,0.000,,25,39,,
T,2024-11-19 12:29:07,53.97491901,-7.35515609,4.74,78.910,56.999,0.000,,25,39,,
T,2024-11-19 12:29:08,53.97492668,-7.35509148,3.79,78.694,56.999,0.830,84,25,39,,
T,2024-11-19 12:29:09,53.97492886,-7.35497709,3.79,78.533,56.999,1.350,87,25,39,,
T,2024-11-19 12:29:10,53.97492408,-7.35494591,3.84,78.231,56.999,1.570,90,24,39,,
T,2024-11-19 12:29:11,53.97491779,-7.35489783,4.56,76.843,56.999,1.960,94,24,39,,
T,2024-11-19 12:29:12,53.97494118,-7.35488083,4.82,77.433,56.999,1.610,71,25,39,,
T,2024-11-19 12:29:13,53.97493029,-7.35485178,4.80,77.754,56.999,1.610,31,25,39,,
T,2024-11-19 12:29:14,53.97492970,-7.35483119,4.15,78.319,56.999,1.350,35,25,39,,
T,2024-11-19 12:29:15,53.97492541,-7.35480747,4.07,80.100,56.999,1.000,42,25,39,,
T,2024-11-19 12:29:16,53.97492447,-7.35478655,3.85,80.362,56.999,1.100,46,24,39,,
T,2024-11-19 12:29:17,53.97492016,-7.35476839,3.79,80.492,56.999,0.810,50,25,39,,
T,2024-11-19 12:29:18,53.97491287,-7.35475271,3.79,79.599,56.999,0.940,60,25,39,,
T,2024-11-19 12:29:19,53.97490694,-7.35473219,3.79,80.641,56.999,1.070,75,25,39,,
T,2024-11-19 12:29:20,53.97490311,-7.35471847,3.89,81.109,56.999,0.840,74,25,39,,
T,2024-11-19 12:29:21,53.97489568,-7.35470481,4.05,80.168,56.999,1.090,79,25,39,,
T,2024-11-19 12:29:22,53.97488670,-7.35468970,4.34,80.316,56.999,1.060,83,24,39,,
T,2024-11-19 12:29:23,53.97488155,-7.35468297,4.57,80.797,56.999,0.640,146,24,39,,
T,2024-11-19 12:29:24,53.97487158,-7.35468657,5.36,80.833,56.999,0.340,68,24,39,,
T,2024-11-19 12:29:25,53.97486220,-7.35468775,6.59,80.644,56.999,0.410,70,25,39,,
T,2024-11-19 12:29:26,53.97485521,-7.35469834,8.03,81.228,56.999,0.870,65,25,39,,
T,2024-11-19 12:29:27,53.97485025,-7.35470914,6.29,80.929,56.999,0.160,60,25,39,,
T,2024-11-19 12:29:28,53.97484255,-7.35473490,5.88,81.265,56.999,0.000,,25,39,,
T,2024-11-19 12:29:29,53.97484181,-7.35473945,5.88,81.741,56.999,0.000,,23,39,,
T,2024-11-19 12:29:30,53.97484239,-7.35474404,5.97,81.649,56.999,0.000,,22,39,,
T,2024-11-19 12:29:31,53.97484206,-7.35474402,6.25,81.583,56.999,0.000,,22,39,,
T,2024-11-19 12:29:32,53.97484261,-7.35473282,5.68,81.452,56.999,0.000,,22,39,,
T,2024-11-19 12:29:33,53.97484336,-7.35472347,5.22,81.126,56.999,0.000,,22,39,,
T,2024-11-19 12:29:34,53.97484385,-7.35471305,4.90,81.447,56.999,0.000,,23,39,,
T,2024-11-19 12:29:35,53.97484427,-7.35470814,4.50,81.517,56.999,0.000,,24,39,,
T,2024-11-19 12:29:36,53.97484209,-7.35470356,10.10,81.255,56.999,0.000,,25,39,,
T,2024-11-19 12:29:37,53.97483991,-7.35470566,10.09,81.022,56.999,0.000,,24,39,,
T,2024-11-19 12:29:38,53.97483857,-7.35470428,10.12,81.185,56.999,0.000,,25,38,,
